round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
60,0.25480157136917114,0.8974103331565857,0.7643638253211975,0.8039442896842957,relu,32,0.3,60,10,RMSprop,4
60,0.23124486207962036,0.9163346886634827,0.8598313927650452,0.8364269137382507,relu,32,0.3,60,10,RMSprop,6
60,0.3354467451572418,0.8660358786582947,0.7031418085098267,0.7749419808387756,relu,32,0.3,60,8,Adam,2
60,0.49410638213157654,0.7719123363494873,0.6056870222091675,0.7679814100265503,relu,32,0.3,60,8,Adam,4
60,0.3413080871105194,0.8585657477378845,0.6712238788604736,0.7668213248252869,relu,32,0.3,60,8,Adam,6
60,0.25421813130378723,0.9028884172439575,0.8552849888801575,0.7830626368522644,relu,32,0.3,60,8,RMSprop,2
60,0.22948266565799713,0.912350594997406,0.9479433298110962,0.747099757194519,relu,32,0.3,60,8,RMSprop,4
60,0.2060142308473587,0.9257968068122864,1.1810355186462402,0.7633410692214966,relu,32,0.3,60,8,RMSprop,6
60,0.5428874492645264,0.804780900478363,0.8507562875747681,0.7250580191612244,relu,32,0.3,60,6,Adam,2
60,0.27833232283592224,0.9018924236297607,0.7322602868080139,0.7749419808387756,relu,32,0.3,60,6,Adam,4
60,0.3763774633407593,0.8555777072906494,0.7295866012573242,0.7552204132080078,relu,32,0.3,60,6,Adam,6
60,0.1929786056280136,0.9267928004264832,0.8632507920265198,0.8178654313087463,relu,32,0.3,60,6,RMSprop,2
60,0.2095542699098587,0.9287848472595215,0.9352055191993713,0.8004640340805054,relu,32,0.3,60,6,RMSprop,4
60,0.18711616098880768,0.9312748908996582,0.7362602353096008,0.8364269137382507,relu,32,0.3,60,6,RMSprop,6
100,0.4031117856502533,0.8451195359230042,1.0644261837005615,0.7401391863822937,relu,32,0.3,100,10,Adam,2
100,0.4095997214317322,0.8381474018096924,0.9372719526290894,0.7563804984092712,relu,32,0.3,100,10,Adam,4
100,0.29245269298553467,0.8914342522621155,0.8745539784431458,0.7633410692214966,relu,32,0.3,100,10,Adam,6
